"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-06-10T11:16:15.150+01:00[Europe/London]","0.0","0.08"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-06-10T11:16:15.235+01:00[Europe/London]","0.0","0.06"
