"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the student application","Check if the student application can be accessed by users","SUCCESS","2023-06-10T11:16:06.150+01:00[Europe/London]","0.0","4.62"
"Testing different request on the student application","Create a new student & verify if the student is added","SUCCESS","2023-06-10T11:16:12.614+01:00[Europe/London]","0.0","1.35"
